date,tavg,tmin,tmax,prcp
2003-06-13,30.5,,38.7,
2003-06-14,30.8,,35.2,
2003-06-15,30.1,26.7,38.3,0
2003-06-16,31.9,27.5,38.3,0
2003-06-17,32.9,28,39.5,0
2003-06-18,31.9,,38.4,
2003-06-19,32.4,27.5,38.4,0
2003-06-20,33.4,,40.5,0
2003-06-21,34.3,30,39.3,0
2003-06-22,32.4,28.2,39.8,
2003-06-23,32.1,29,39.4,0
2003-06-24,31.4,27.8,37.8,0
2003-06-25,32.1,27.7,38.1,0
2003-06-26,30.6,,,
2003-06-27,32.7,,38,
2003-06-28,30.3,,38.1,
2003-06-29,29.4,22.8,33.9,52.1
2003-06-30,30.3,,36.4,0
2003-07-01,31.1,,35.8,4.1
2003-07-02,28.7,24.3,31.9,24.9
2003-07-03,30.2,26.1,,0
2003-07-04,28.4,,31,0.3
2003-07-05,29.7,26.6,33,0.8
2003-07-06,30.4,27,35.4,0
2003-07-07,31.3,27.6,37.9,
2003-07-08,31.8,,37.4,0.5
2003-07-09,28.6,,31,0.5
2003-07-10,27.7,,32.2,36.1
2003-07-11,28.6,22.5,,60.5
2003-07-12,29.5,24.4,,7.9
2003-07-13,30.6,,36.4,0.3
2003-07-14,29.4,,35.1,2
2003-07-15,29.8,26,33.1,0
2003-07-16,29.2,,31.4,0
2003-07-17,30.3,25.8,35.2,0
2003-07-18,30.3,27,33.4,0
2003-07-19,30.2,,34.4,0
2003-07-20,30.1,23.4,34.8,6.1
2003-07-21,28.7,23.6,35.2,7.1
2003-07-22,29.1,24.2,34.2,2
2003-07-23,28.6,24.9,35,0.3
2003-07-24,30.6,25,35.4,3
2003-07-25,30.7,28.1,33.8,0
2003-07-26,29.8,,31.5,
2003-07-27,30.8,27,35.8,0
2003-07-28,31.2,26.9,36.8,0
2003-07-29,30.6,,36.8,0
2003-07-30,28,22.2,33.1,23.1
2003-07-31,28.2,24.6,,7.1
2003-08-01,27.9,,32.8,0
2003-08-02,28.6,,34.2,
2003-08-03,28.3,23,35,17
2003-08-04,30.2,23.4,34.7,27.9
2003-08-05,28.1,24.4,,7.9
2003-08-06,28.8,25.4,33.2,0
2003-08-07,28.6,26,33.4,2
2003-08-08,30.2,,35.5,0
2003-08-09,31.1,,35.8,0
2003-08-10,30.9,27.6,35.9,0
2003-08-11,30,,36.4,0
2003-08-12,28.8,22.6,32.3,53.1
2003-08-13,30.2,,35.2,0
2003-08-14,29.1,24,35,23.1
2003-08-15,29.1,,35.5,0
2003-08-16,30.2,,35.8,0
2003-08-17,29.5,24.6,33.4,8.9
2003-08-18,29.3,25.2,34,0
2003-08-19,28.5,,32.3,0.3
2003-08-20,27.4,25,31.3,0.5
2003-08-21,27.4,24.8,30.6,0.5
2003-08-22,27.7,25,32.2,2
2003-08-23,30.1,25,34,6.1
2003-08-24,30.7,,35.2,0
2003-08-25,29.4,24.6,33.6,14
2003-08-26,28.3,25.9,32.8,0.5
2003-08-27,28.4,26,32.3,0
2003-08-28,29.5,25.4,34,0.3
2003-08-29,30.2,26.4,35,0
2003-08-30,29.7,26,35.2,0
2003-08-31,29.1,,,0
2003-09-01,29.1,25,35,
2003-09-02,28.9,24.4,34.8,0
2003-09-03,29.7,,36.2,
2003-09-04,28.6,23.4,35.9,7.9
2003-09-05,28.8,24.2,,3
2003-09-06,30.2,,34.4,0
2003-09-07,29.3,27,34.4,
2003-09-08,30.2,26,36.7,1
2003-09-09,30.8,27,36.9,0
2003-09-10,30.2,,37,0
2003-09-11,30.2,26.6,37.2,0
2003-09-12,30.3,26.8,36.2,0
2003-09-13,30.4,26.8,36.5,0
2003-09-14,30,26.4,,0
2003-09-15,30.9,,37.6,0
2003-09-16,30.8,,37.8,
2003-09-17,30,24.6,36.2,7.9
2003-09-18,28.9,24.4,33.2,0
2003-09-19,28.8,26.4,,0
2003-09-20,31.1,26.4,,
2003-09-21,30.8,,36.1,0
2003-09-22,30.6,25,37.9,0
2003-09-23,29.3,26,33.6,0.3
2003-09-24,28.8,,32.3,0.3
2003-09-25,29.9,26,33.8,0.5
2003-09-26,27.7,23.6,33,75.9
2003-09-27,28.8,,34.3,0
2003-09-28,29.7,,33.6,0
2003-09-29,29.1,25.6,33.9,
2003-09-30,28.8,,33.4,0
2003-10-01,28.3,,33.8,0
2003-10-02,28.9,,34,
2003-10-03,27.9,,33.5,0.5
2003-10-04,26.9,,33,0.3
2003-10-05,27.8,25.4,30.1,0
2003-10-06,28.5,25,32.6,
2003-10-07,29.6,25.7,34.6,0
2003-10-08,30.3,26.6,35.9,0
2003-10-09,30.6,26.4,36.3,0
2003-10-10,29.8,26.2,36.4,0
2003-10-11,30.8,26,36,0
2003-10-12,28.9,,33.8,
2003-10-13,25.1,,29.8,9.9
2003-10-14,26.7,,32.2,51.1
2003-10-15,28.9,23.6,32.4,7.9
2003-10-16,28.3,24.9,33.8,0
2003-10-17,27.1,,31.8,
2003-10-18,26.9,25.6,31.8,0
2003-10-19,27.6,,31,1
2003-10-20,24.6,23,29,39.1
2003-10-21,25.8,24,31.4,6.1
2003-10-22,28.8,,,55.9
2003-10-23,26.1,,31.8,0.3
2003-10-24,27.2,23.8,33.8,40.9
2003-10-25,27.7,24.3,33.5,2
2003-10-26,27.1,,33.2,0
2003-10-27,25.7,,33,0
2003-10-28,26.4,23,33.2,0
2003-10-29,26.4,,32.3,0
2003-10-30,26.8,,32.7,3
2003-10-31,25.6,,31.5,0
2003-11-01,26.6,24,32.6,
2003-11-02,27.7,24.5,32.6,0
2003-11-03,27.8,24.3,32.2,6.1
2003-11-04,27.6,,31.7,0.3
2003-11-05,27.3,24,32.6,0
2003-11-06,25.1,24,30.6,
2003-11-07,26.3,,30.7,5.1
2003-11-08,25.9,22.6,30.2,35.1
2003-11-09,26.1,24,31,1
2003-11-10,26.4,23,31.2,6.1
2003-11-11,25.6,22.6,30.8,0
2003-11-12,27.3,22.8,31.6,0
2003-11-13,25.7,,31.2,7.1
2003-11-14,26.6,24,31.4,3
2003-11-15,27.3,24,31,0
2003-11-16,26.6,,31,0
2003-11-17,26.6,23,30.6,0
2003-11-18,24.7,,30,0
2003-11-19,25.2,,30.2,0
2003-11-20,25.7,21.6,29.9,0
2003-11-21,25.1,22.6,29.4,
2003-11-22,25.9,24,30.2,0
2003-11-23,25.7,,30.8,0
2003-11-24,26.7,,30.2,0
2003-11-25,25.2,,29.5,0
2003-11-26,25.3,,,0
2003-11-27,26,20.2,30.5,0
2003-11-28,24.6,,28.6,0.8
2003-11-29,25.8,,,4.1
2003-11-30,26,,29,2
2003-12-01,25,,30.5,1
2003-12-02,25.2,,29.6,0
2003-12-03,24.3,,,0
2003-12-04,24.7,,,0
2003-12-05,25.1,21,29.9,0
2003-12-06,25,19.6,,0
2003-12-07,24.6,19.9,,0
2003-12-08,25.8,19,,0
2003-12-09,25.4,20.6,,0
2003-12-10,25.1,19.5,,0
2003-12-11,25.8,20.3,30,
2003-12-12,26.3,22.2,30,0
2003-12-13,26.2,22.9,,0
2003-12-14,23.7,,,
2003-12-15,23.7,18.6,27.4,17
2003-12-16,26.3,,32.9,0
2003-12-17,25.2,,,
2003-12-18,25.2,,30.2,0
2003-12-19,24.8,20.7,30.3,0
2003-12-20,24.3,,,0
2003-12-21,24.9,19,29.4,0
2003-12-22,25.2,20,29.6,0
2003-12-23,22.9,21.8,26,0.5
2003-12-24,24,21.8,28.3,19.1
2003-12-25,24.5,21.8,29.2,1
2003-12-26,25.4,22.6,30.3,0
2003-12-27,25.7,,29.6,0.5
2003-12-28,26.2,22.6,30.2,0
2003-12-29,25.4,22.7,30.2,0
2003-12-30,25.9,22.5,30.4,0
2003-12-31,26.1,,29.7,1
2004-01-01,24.9,,29.6,0
2004-01-02,23.9,,29,0
2004-01-03,23.5,18.6,28.8,0
2004-01-04,24.2,19.8,29.2,0
2004-01-05,24.6,21.5,29,0
2004-01-06,24.4,,,0
2004-01-07,24.8,,28.8,0
2004-01-08,24,,29,0
2004-01-09,24.7,,29.3,0
2004-01-10,24.9,19,29.6,0
2004-01-11,24.4,18.6,29.3,0
2004-01-12,22.9,18.6,29,0
2004-01-13,23.3,18.1,30,0
2004-01-14,24.2,18,29.8,0
2004-01-15,23.9,18.3,29.6,0
2004-01-16,23.6,18.7,29.6,0
2004-01-17,23.9,,,0
2004-01-18,23.7,18.5,30.1,0
2004-01-19,23.4,18.2,29.8,0
2004-01-20,24.2,19,30,0
2004-01-21,25.2,19.8,30.7,0
2004-01-22,24.3,19.5,31.9,0
2004-01-23,26.1,,30.8,0
2004-01-24,26.2,22,31.2,0
2004-01-25,26.1,22,30.9,0
2004-01-26,26.8,22.1,31.3,0
2004-01-27,25.5,23,28.6,23.1
2004-01-28,25.3,22.8,30,1
2004-01-29,27.3,22.4,30.9,0
2004-01-30,26.4,22.5,30.6,0
2004-01-31,26,,30.6,0
2004-02-01,25.2,21.7,30.1,0
2004-02-02,25.9,20.5,30,0
2004-02-03,25.7,21,30.4,0
2004-02-04,26.4,22,,0
2004-02-05,26.7,22.4,31.2,0
2004-02-06,26.7,22.4,31.2,0
2004-02-07,25.8,,29.6,0
2004-02-08,26.2,,30.2,0
2004-02-09,25.2,20.9,30,0
2004-02-10,25.1,19.4,30.6,0
2004-02-11,24.9,,30.8,0
2004-02-12,24.4,,30.2,0
2004-02-13,25.3,20.5,30.3,0
2004-02-14,26.3,20.6,31,0
2004-02-15,24.7,,31.6,0
2004-02-16,24.1,,31.1,0
2004-02-17,24.2,20,30.7,0
2004-02-18,25.2,,31.4,0
2004-02-19,24.9,,32,0
2004-02-20,25.3,,32.6,0
2004-02-21,25.2,,31.7,0
2004-02-22,25.2,,32.7,0
2004-02-23,25.9,20,33,0
2004-02-24,25.6,20,32.2,0
2004-02-25,25.7,19.8,,0
2004-02-26,25.6,,32.5,0
2004-02-27,25.1,,31.8,0
2004-02-28,24.3,,31.7,0
2004-02-29,24.8,,31.9,0
2004-03-01,26.1,,32.8,0
2004-03-02,26.3,20.8,34,0
2004-03-03,27,21.6,34.2,0
2004-03-04,27.4,,34.1,0
2004-03-05,26.8,,33.4,0
2004-03-06,26.6,20,32.8,0
2004-03-07,25.9,20.3,32.8,0
2004-03-08,27.1,21.5,32,0
2004-03-09,27.3,,32.2,0
2004-03-10,27.2,22.9,33,0
2004-03-11,26.9,,32.9,0
2004-03-12,27.4,23.5,32.9,0
2004-03-13,27.6,,34.1,0
2004-03-14,27.4,,33.6,0
2004-03-15,26.6,,34.3,0
2004-03-16,27.4,20.2,35.3,0
2004-03-17,29.4,21.7,37.8,0
2004-03-18,28.9,24,37.2,0
2004-03-19,28.8,24.6,36.6,0
2004-03-20,28.8,,37.3,0
2004-03-21,29.6,,36.9,0
2004-03-22,28.5,,35,0
2004-03-23,28.7,,35,0
2004-03-24,29.2,,,0
2004-03-25,28.4,24.3,33.4,0
2004-03-26,28.1,24.5,33.6,0
2004-03-27,28,,33.7,0
2004-03-28,28.8,25.6,33.3,
2004-03-29,29.8,26,34.5,
2004-03-30,30.2,27,35.1,0
2004-03-31,29.9,,35.8,0
2004-04-01,30.1,,,0
2004-04-02,30.3,26.6,35.3,0
2004-04-03,30,,35,0
2004-04-04,29.3,,35,0
2004-04-05,29.6,,35.8,0
2004-04-06,30.2,,35.2,
2004-04-07,29.7,22.6,36,3
2004-04-08,30.5,,38,0
2004-04-09,30.4,,37,0
2004-04-10,30.6,,36.4,0
2004-04-11,30.1,,35.8,0
2004-04-12,29.7,25.6,35.6,0
2004-04-13,31.1,26.5,38.6,0
2004-04-14,31.8,,39.3,0
2004-04-15,32.2,28,39,0
2004-04-16,32.5,28.2,39.2,0
2004-04-17,32.3,28.2,39.8,0
2004-04-18,31.8,28,39.6,0
2004-04-19,31.6,,38.2,0
2004-04-20,31.4,27.5,37.6,0
2004-04-21,30.9,,37,0
2004-04-22,31.2,27.4,37.6,0
2004-04-23,30.9,,36.2,0
2004-04-24,30.7,27.4,36.4,0
2004-04-25,29.7,,33.8,
2004-04-26,30.7,26.4,,0
2004-04-27,31.4,26.8,36.1,0
2004-04-28,31.4,27.5,37.1,0
2004-04-29,31.3,,36,0
2004-04-30,31.1,27,35.7,0
2004-05-01,30.8,27,35.8,0
2004-05-02,28.9,,34.7,
2004-05-03,26.9,23.8,,59.9
2004-05-04,27.1,24,30.4,53.1
2004-05-05,26.9,24,30,0
2004-05-06,28.7,25.3,,21.1
2004-05-07,28.7,25.7,32.4,6.1
2004-05-08,29.7,,33.3,4.1
2004-05-09,29.6,26.8,33.7,0
2004-05-10,30.5,26.5,35.1,0
2004-05-11,31.3,27,37.9,0
2004-05-12,32,28.2,39,0
2004-05-13,33.2,28.2,39.3,0
2004-05-14,29.4,,34,0
2004-05-15,28.8,,38.4,0
2004-05-16,27.3,,36.2,
2004-05-17,27.6,23.5,35.1,
2004-05-18,29.8,,36,0
2004-05-19,31.2,,38.1,0
2004-05-20,30.7,,37.8,0
2004-05-21,31.4,,38.4,0
2004-05-22,30.8,,38.6,
2004-05-23,27.8,,38.1,0.5
2004-05-24,27.3,,36.7,10.9
2004-05-25,29.4,,36,2
2004-05-26,28.5,,35.3,0
2004-05-27,28.6,25,34,0
2004-05-28,28.2,25.9,33,0
2004-05-29,28.1,,34.5,0
2004-05-30,27.3,,33.4,0
2004-05-31,27.2,,35.4,
2004-06-01,27.9,,35.8,
2004-06-02,29.8,24.6,36.6,4.1
2004-06-03,30.4,,37.6,0
2004-06-04,28.8,,37.2,
2004-06-05,29.2,,35.4,0
2004-06-06,30.2,,36,0
2004-06-07,29,,36.5,
2004-06-08,28.7,,35.5,0.5
2004-06-09,30,23.5,34,17
2004-06-10,29.7,,35.6,0.5
2004-06-11,29.4,25.2,32,4.1
2004-06-12,29.2,,,0
2004-06-13,30.1,25.9,35.5,3
2004-06-14,30.5,,34.1,1
2004-06-15,31.1,,36.9,0
2004-06-16,30.8,,36.2,0
2004-06-17,32.2,,37.3,0
2004-06-18,32.6,27.5,37,0
2004-06-19,32.3,27.6,,0
2004-06-20,32.4,28.5,37.2,0
2004-06-21,32.2,27.8,37.8,0
2004-06-22,31.2,,38,0
2004-06-23,31.6,,38.2,0
2004-06-24,31.8,,38.3,0
2004-06-25,30.6,27.5,38.6,0
2004-06-26,32.2,27.3,,
2004-06-27,30.7,,,0
2004-06-28,31.1,,,3
2004-06-29,31.8,25.4,,24.9
2004-06-30,31.7,27,,0
2004-07-01,31.9,26.5,38.4,0.8
2004-07-02,27.9,,,0.3
2004-07-03,29.1,,36.2,1
2004-07-04,30.8,26,36.2,17
2004-07-05,30.8,,,0
2004-07-06,30.1,26.4,35.2,4.1
2004-07-07,30.6,27,36,0.5
2004-07-08,30.1,26,,0
2004-07-09,30.6,26.7,,0
2004-07-10,29.4,26,34.4,0
2004-07-11,29.2,,36.7,
2004-07-12,28.4,24.6,,
2004-07-13,28.1,24,31,0.5
2004-07-14,29.1,,33.8,0.3
2004-07-15,30.2,26.5,,0
2004-07-16,30.4,26.7,36.8,
2004-07-17,31,25.9,,0
2004-07-18,30.7,27.6,36.3,0
2004-07-19,30.9,25.9,36.3,0
2004-07-20,31.9,27,37.8,0
2004-07-21,31.1,,38.7,
2004-07-22,30.2,26.4,33.8,6.1
2004-07-23,28.3,25.8,34,0.5
2004-07-24,29.1,25.4,36,0
2004-07-25,30.7,25.6,35.3,0.5
2004-07-26,29.8,25.1,36.6,0.5
2004-07-27,30.6,27.6,34.6,0
2004-07-28,30.7,,35.8,
2004-07-29,29.4,25.1,34.3,2
2004-07-30,29.7,25,35.8,7.9
2004-07-31,28.7,25.5,33.8,3
2004-08-01,29.4,26.3,32.5,2
2004-08-02,30.2,27,33.4,0
2004-08-03,29.1,,35.2,
2004-08-04,30.4,26.5,37,
2004-08-05,29.8,,36.6,
2004-08-06,30.7,25.5,37.6,4.1
2004-08-07,30.8,,35.6,0
2004-08-08,29.1,,37.8,0
2004-08-09,30.5,,38.1,3
2004-08-10,30.5,,38.3,0
2004-08-11,31.6,,35.9,0
2004-08-12,31.6,,37.8,
2004-08-13,31.1,28,35.1,0.5
2004-08-14,32.2,,37,0
2004-08-15,31.3,,37.6,
2004-08-16,30.6,26.9,38.6,0.5
2004-08-17,31,,39.6,0.5
2004-08-18,30.9,27.8,38.6,0
2004-08-19,31.9,28.6,37.9,0
2004-08-20,32.6,,38.6,0
2004-08-21,32.3,,37.9,0
2004-08-22,30.4,,39.3,
2004-08-23,30.2,26.4,38.8,
2004-08-24,30.9,25.9,38.3,0
2004-08-25,31,27,38.7,
2004-08-26,31.2,,37.4,0
2004-08-27,31.3,,38.5,
2004-08-28,30.2,23.6,36.6,31
2004-08-29,30.9,27,36.5,1
2004-08-30,30.4,,37.2,162.1
2004-08-31,30.7,25.6,36.7,4.1
